total.pckts,tcp.pct,udp.pct,http.pct,other.pct,ip.src.unique,ip.dest.unique,eth.src.unique,eth.dest.unique,pkt.length.mean,pkt.length.std,pkt.length.var,pkt.length.min,pkt.length.max,pkt.length.pquartil,pkt.length.med,pkt.length.tquartil,pkt.delta.mean,pkt.delta.std,pkt.delta.var,pkt.delta.min,pkt.delta.max,pkt.delta.pquartil,pkt.delta.med,pkt.delta.tquartil,ttl.mean,ttl.std,ttl.var,ttl.min,ttl.max,ttl.pquartil,ttl.med,ttl.tquartil,tcp.flag.res.count,tcp.flag.ae.count,tcp.flag.cwr.count,tcp.flag.ece.count,tcp.flag.urg.count,tcp.flag.ack.count,tcp.flag.push.count,tcp.flag.reset.count,tcp.flag.syn.count,tcp.flag.fyn.count,dest.port.entropy,src.port.entropy,tcp.seq.entropy,http.statusok,http.statusnotok,http.get.pct,http.post.pct,http.othermethods.pct,http.useragent.unique,http.url.unique,http.avg.url.len,label
1489,80.12088650100738,0.0,19.879113498992613,0.0,26,26,26,26,170.75218267293485,274.30538564469896,75243.44459368703,66.0,990.0,66.0,66.0,74.0,0.0006709229120214,0.0017787681419084,3.164016102668423e-06,-5.2442e-05,0.018721118,3.7427e-05,0.000104862,0.000484289,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1342,296,0,294,298,0.6272603352139895,0.6329437344180581,0.7735331725863033,9.939556749496306,90.0604432505037,9.939556749496306,0.0,90.0604432505037,2,2,19.0,0
1499,79.9866577718479,0.0,20.0133422281521,0.0,26,26,26,26,171.4596397598399,275.0936123083331,75676.49553284746,66.0,990.0,66.0,66.0,74.0,0.000666202329553,0.0017699674689462,3.1327848411281208e-06,-6.9816e-05,0.016074166,3.61125e-05,0.000104569,0.00048595,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1350,300,0,298,299,0.6295680356098919,0.6321091679265646,0.7684656202385193,10.00667111407605,89.99332888592394,10.00667111407605,0.0,89.99332888592394,2,2,19.0,0
1496,80.01336898395722,0.0,19.98663101604278,0.0,26,26,26,26,171.0427807486631,274.5310690387884,75367.30786757999,66.0,990.0,66.0,66.0,74.0,0.0006672827406417,0.0018218189819392,3.3190244029540917e-06,-6.9392e-05,0.015947475,3.33575e-05,7.47705e-05,0.0004168277499999,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1348,299,0,296,299,0.6295273001289938,0.633054868726197,0.7659980541180188,9.95989304812834,90.04010695187165,10.02673796791444,0.0,89.97326203208557,2,2,19.0,0
1475,80.27118644067797,0.0,19.728813559322035,0.0,26,26,26,26,170.26169491525422,273.8247899554389,74980.01559414025,66.0,990.0,66.0,66.0,74.0,0.000676658059661,0.0018863260732786,3.558226054730957e-06,-6.6252e-05,0.016306766,3.2807499999999994e-05,7.8686e-05,0.0004250505,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1328,291,0,294,296,0.6287223161870965,0.6341460995403893,0.7709778205733626,9.89830508474576,90.10169491525424,9.830508474576272,0.0,90.16949152542372,2,2,19.0,0
1494,80.05354752342704,0.0,19.94645247657296,0.0,26,26,26,26,171.09638554216866,274.70527362000706,75462.98735464294,66.0,990.0,66.0,66.0,74.0,0.0006674587663989,0.0019207878896444,3.689426117004795e-06,-6.8554e-05,0.016445674,3.2625e-05,9.1489e-05,0.0004537532499999,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1347,298,0,294,299,0.6313129945395111,0.6354931780007739,0.767709682992093,9.97322623828648,90.02677376171351,9.97322623828648,0.0,90.02677376171351,2,2,19.0,0
1507,80.09289980092899,0.0,19.907100199071,0.0,26,26,26,26,170.89980092899802,274.4690538727907,75333.26153382489,66.0,990.0,66.0,66.0,74.0,0.0006602419794293,0.0019066466678879,3.635301516168277e-06,-4.763e-05,0.017085856,3.4144000000000004e-05,0.000104561,0.000444958,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1358,300,0,298,300,0.6311063535765582,0.6370513840690474,0.7715835497924778,9.9535500995355,90.0464499004645,9.9535500995355,0.0,90.0464499004645,2,2,19.0,0
1499,80.12008005336891,0.0,19.879919946631087,0.0,26,26,26,26,170.77785190126752,274.3016488147895,75241.39454251209,66.0,990.0,66.0,66.0,74.0,0.0006634523342228,0.0019095928503226,3.646544854003285e-06,-5.6154e-05,0.018503404,3.22775e-05,8.0646e-05,0.000431837,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1349,298,0,300,299,0.6321397151795362,0.6355522648212332,0.7653830651124041,9.939959973315544,90.06004002668445,9.939959973315544,0.0,90.06004002668445,2,2,19.0,0
1499,79.9866577718479,0.0,20.0133422281521,0.0,26,26,26,26,171.42761841227485,275.1054281419933,75682.99659318944,66.0,990.0,66.0,66.0,74.0,0.0006643629686457,0.001920047158262,3.686581089950295e-06,-5.1367e-05,0.019319222,3.25755e-05,9.0689e-05,0.000434061,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1353,300,0,292,300,0.6336137592136124,0.6381714362497415,0.8331825001018144,10.00667111407605,89.99332888592394,10.00667111407605,0.0,89.99332888592394,2,2,19.0,0
1513,80.17184401850628,0.0,19.82815598149372,0.0,26,26,26,26,170.473231989425,274.0071895489863,75079.93992453409,66.0,990.0,66.0,66.0,74.0,0.0006607579530733,0.0019096676713387,3.646830614956201e-06,-6.1606e-05,0.021192259,3.3525e-05,9.9527e-05,0.000448486,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1365,300,0,296,300,0.6313377656747995,0.642353276331838,0.8458214380878041,9.91407799074686,90.08592200925314,9.91407799074686,0.0,90.08592200925314,2,2,19.0,0
1502,80.0266311584554,0.0,19.973368841544605,0.0,26,26,26,26,171.25965379494008,274.85499627505726,75545.26897736173,66.0,990.0,66.0,66.0,74.0,0.0006611916904127,0.001991817740397,3.967337910960397e-06,-6.1334e-05,0.022340006,3.317525e-05,9.8587e-05,0.0004367205,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1352,300,0,300,298,0.6349620436447204,0.6387522184833212,0.8341937507349166,9.986684420772304,90.0133155792277,9.986684420772304,0.0,90.0133155792277,2,2,19.0,0
1508,80.10610079575596,0.0,19.893899204244036,0.0,26,26,26,26,170.83023872679044,274.39127118429394,75290.56970213275,66.0,990.0,66.0,66.0,74.0,0.0006478501564986,0.001957838444906,3.833131376352283e-06,-7.0075e-05,0.024829475,3.289725e-05,9.88945e-05,0.000466918,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1359,300,0,298,300,0.6329891936413842,0.639827641758162,0.7743456337257228,9.946949602122016,90.05305039787798,9.946949602122016,0.0,90.05305039787798,2,2,19.0,0
1504,80.0531914893617,0.0,19.9468085106383,0.0,26,26,26,26,171.11968085106383,274.69886549617945,75459.4667048881,66.0,990.0,66.0,66.0,74.0,0.0006538734228723,0.0020090937978876,4.036457888710703e-06,-6.5606e-05,0.025970035,3.2371e-05,7.24785e-05,0.00046119475,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1354,300,0,300,300,0.6351584903320513,0.6379874871925468,0.7659732191838795,9.97340425531915,90.02659574468085,9.97340425531915,0.0,90.02659574468085,2,2,19.0,0
1504,80.0531914893617,0.0,19.9468085106383,0.0,26,26,26,26,171.11968085106383,274.69886549617945,75459.4667048881,66.0,990.0,66.0,66.0,74.0,0.0006540473849734,0.0019600198144805,3.841677673156315e-06,-5.47e-05,0.024372015,3.35655e-05,9.53855e-05,0.000476328,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1354,300,0,300,300,0.6350701716057472,0.6379028610034122,0.7659732191838795,9.97340425531915,90.02659574468085,9.97340425531915,0.0,90.02659574468085,2,2,19.0,0
1487,79.89240080699395,0.0,20.10759919300605,0.0,26,26,26,26,171.70006724949562,275.2311034681233,75752.16031628079,66.0,990.0,66.0,66.0,74.0,0.000657402255548,0.0019804910863701,3.922344943191812e-06,-6.114e-05,0.025488899,3.3172499999999995e-05,9.2875e-05,0.0004820865,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1337,299,0,300,294,0.635849430836158,0.6366006260919287,0.7639371840431639,10.020174848688637,89.97982515131136,10.087424344317418,0.0,89.91257565568259,2,2,19.0,0
1488,80.04032258064517,0.0,19.95967741935484,0.0,26,26,26,26,171.4758064516129,275.17924112687643,75723.61474716359,66.0,990.0,66.0,66.0,74.0,0.0006657321014784,0.0020545370236181,4.221122381417867e-06,-6.2034e-05,0.025058556,3.422375e-05,7.82425e-05,0.00047251,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1338,297,0,300,297,0.6333703081396255,0.6338940425426228,0.765507619014356,10.013440860215054,89.98655913978494,9.946236559139784,0.0,90.05376344086021,2,2,19.0,0
1505,80.06644518272425,0.0,19.93355481727575,0.0,26,26,26,26,171.04983388704318,274.6208959232681,75416.63647769844,66.0,990.0,66.0,66.0,74.0,0.0006605212950166,0.0020897384896791,4.367006955246689e-06,-6.2144e-05,0.027145194,3.512e-05,9.965e-05,0.000491469,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1355,300,0,300,300,0.6313973269912857,0.6355179903274012,0.7707850038709947,9.966777408637874,90.03322259136213,9.966777408637874,0.0,90.03322259136213,2,2,19.0,0
1495,79.93311036789298,0.0,20.066889632107024,0.0,26,26,26,26,171.752508361204,275.40347476817834,75847.07391438664,66.0,990.0,66.0,66.0,74.0,0.0006616744374581,0.0021358781911894,4.561975647598836e-06,-5.8968e-05,0.026706064,3.4288e-05,0.000105012,0.0004935375,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1345,300,0,300,297,0.632615113544037,0.6342326045828623,0.7663569945492033,10.033444816053512,89.96655518394648,10.033444816053512,0.0,89.96655518394648,2,2,19.0,0
1494,79.98661311914323,0.0,20.01338688085676,0.0,26,26,26,26,171.20481927710844,274.6800505271596,75449.13015760297,66.0,990.0,66.0,66.0,74.0,0.0006683189243641,0.0021153152133013,4.474558451624147e-06,-4.9468e-05,0.024698287,3.2826e-05,0.0001000755,0.0004749965,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1344,299,0,300,295,0.6300877692135602,0.6350088038933519,0.7744062502998107,9.97322623828648,90.02677376171351,10.040160642570282,0.0,89.95983935742971,2,2,19.0,0
