total.pckts,tcp.pct,udp.pct,http.pct,other.pct,ip.src.unique,ip.dest.unique,eth.src.unique,eth.dest.unique,pkt.length.mean,pkt.length.std,pkt.length.var,pkt.length.min,pkt.length.max,pkt.length.pquartil,pkt.length.med,pkt.length.tquartil,pkt.delta.mean,pkt.delta.std,pkt.delta.var,pkt.delta.min,pkt.delta.max,pkt.delta.pquartil,pkt.delta.med,pkt.delta.tquartil,ttl.mean,ttl.std,ttl.var,ttl.min,ttl.max,ttl.pquartil,ttl.med,ttl.tquartil,tcp.flag.res.count,tcp.flag.ae.count,tcp.flag.cwr.count,tcp.flag.ece.count,tcp.flag.urg.count,tcp.flag.ack.count,tcp.flag.push.count,tcp.flag.reset.count,tcp.flag.syn.count,tcp.flag.fyn.count,dest.port.entropy,src.port.entropy,tcp.seq.entropy,http.statusok,http.statusnotok,http.get.pct,http.post.pct,http.othermethods.pct,http.useragent.unique,http.url.unique,http.avg.url.len,label
6,0.0,0.0,0.0,100.0,1,1,2,3,83.66666666666667,13.64795466971761,186.2666666666667,56.0,90.0,87.0,90.0,90.0,0.15728883883333333,0.2260342781274533,0.05109149488859891,0.0,0.606397944,0.030610464999999996,0.10206799750000001,0.12032285425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,1,0.0,0
6,0.0,0.0,0.0,100.0,1,1,2,3,83.66666666666667,13.64795466971761,186.2666666666667,56.0,90.0,87.0,90.0,90.0,0.12466924266666667,0.13454344877976557,0.018101939609553398,0.0,0.303316097,0.007614513999999999,0.094162042,0.23174796325000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,1,0.0,0
7,0.0,0.0,0.0,100.0,1,1,2,3,82.28571428571429,13.780593670258256,189.9047619047619,56.0,90.0,80.0,90.0,90.0,0.040001332285714286,0.03856446164646923,0.0014872177020819957,0.0,0.092030578,0.0056401215,0.032051179,0.07232366300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,1,0.0,0
3,0.0,0.0,0.0,100.0,1,1,2,3,82.0,10.583005244258363,112.0,70.0,90.0,78.0,86.0,88.0,0.07781200033333334,0.07185877315901734,0.005163683279919111,0.0,0.141671011,0.045882495,0.09176499,0.1167180005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,1,0.0,0
2,0.0,0.0,0.0,100.0,1,1,1,2,80.0,14.142135623730951,200.0,70.0,90.0,75.0,80.0,85.0,1.465e-07,2.0718228688765843e-07,4.29245e-14,0.0,2.93e-07,7.325e-08,1.465e-07,2.1975e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,1,0.0,0
0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
4,0.0,0.0,0.0,100.0,1,1,1,3,80.5,16.441816606851365,270.3333333333333,56.0,90.0,78.5,88.0,90.0,0.18999333999999998,0.3764031143480247,0.14167930449089217,0.0,0.754594613,0.0017289764999999999,0.0026893735,0.190953737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,1,0.0,0
3,0.0,0.0,0.0,100.0,1,1,1,2,83.33333333333333,11.547005383792516,133.33333333333334,70.0,90.0,80.0,90.0,90.0,0.05330530766666667,0.09232732798673088,0.008524335493169378,0.0,0.159915723,1e-07,2e-07,0.07995796150000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,1,0.0,0
0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
4,0.0,0.0,0.0,100.0,1,1,1,3,80.5,16.441816606851365,270.3333333333333,56.0,90.0,78.5,88.0,90.0,0.11260820525000001,0.13007894307183593,0.01692053143068593,0.0,0.267827882,0.00782422275,0.0913024695,0.196086452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,1,0.0,0
