n_features,accuracy,w_precision,w_recall,w_f1score,predict_s
1,13.295880149812733,1.7678042895818429,13.295880149812733,3.120685919460179,1977
2,5.377207062600322,0.7764299564533294,5.377207062600322,1.3569291242002333,1977
3,5.377207062600322,0.7764299564533294,5.377207062600322,1.3569291242002333,1977
4,86.78437667201712,88.53230650441968,86.78437667201712,80.72378577809847,1611
5,86.78437667201712,88.53230650441968,86.78437667201712,80.72378577809847,1611
6,5.2434456928838955,0.7582171979526611,5.2434456928838955,1.3248563850347208,1977
7,86.78437667201712,88.53230650441968,86.78437667201712,80.72378577809847,1611
8,5.2434456928838955,0.7582171979526611,5.2434456928838955,1.3248563850347208,1977
9,86.78437667201712,88.53230650441968,86.78437667201712,80.72378577809847,1611
10,5.2434456928838955,0.7582171979526611,5.2434456928838955,1.3248563850347208,1977
11,5.2434456928838955,0.7582171979526611,5.2434456928838955,1.3248563850347208,1977
12,86.78437667201712,88.53230650441968,86.78437667201712,80.72378577809847,1611
13,5.2434456928838955,0.7582171979526611,5.2434456928838955,1.3248563850347208,1977
14,86.78437667201712,88.53230650441968,86.78437667201712,80.72378577809847,1611
15,81.9422150882825,74.86917422287004,81.9422150882825,78.20827213058973,1611
16,87.50668806848581,85.94295297764918,87.50668806848581,86.45074539210553,1611
17,87.42643124665597,85.87180559289055,87.42643124665597,86.38785425018173,1611
18,84.02889245585875,79.91375769060224,84.02889245585875,81.49456409625675,1611
19,84.93846976993045,81.85153866202425,84.93846976993045,82.96448203017965,1611
20,85.17924023542001,82.05030374136997,85.17924023542001,83.13237368165044,1611
21,82.10272873194222,76.15975353936831,82.10272873194222,78.8495290143116,1611
22,82.02247191011236,76.13281270751986,82.02247191011236,78.8042658766403,1611
23,82.02247191011236,76.13281270751986,82.02247191011236,78.8042658766403,1611
24,82.02247191011236,76.13281270751986,82.02247191011236,78.8042658766403,1611
25,82.02247191011236,76.13281270751986,82.02247191011236,78.8042658766403,1611
26,82.02247191011236,76.13281270751986,82.02247191011236,78.8042658766403,1611
27,82.02247191011236,76.13281270751986,82.02247191011236,78.8042658766403,1611
28,82.02247191011236,76.13281270751986,82.02247191011236,78.8042658766403,1611
29,82.02247191011236,76.13281270751986,82.02247191011236,78.8042658766403,1611
30,82.02247191011236,76.13281270751986,82.02247191011236,78.8042658766403,1611
31,82.02247191011236,76.13281270751986,82.02247191011236,78.8042658766403,1611
32,82.02247191011236,76.13281270751986,82.02247191011236,78.8042658766403,1611
33,82.02247191011236,76.13281270751986,82.02247191011236,78.8042658766403,1611
34,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
35,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
36,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
37,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
38,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
39,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
40,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
41,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
42,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
43,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
44,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
45,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
46,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
47,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
48,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
49,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
50,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
51,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
52,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
53,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
54,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
