n_features,accuracy,w_precision,w_recall,w_f1score,predict_s
1,13.295880149812733,1.7678042895818429,13.295880149812733,3.120685919460179,1977
2,89.51310861423221,89.42472712810516,89.51310861423221,89.46789834468782,1599
3,89.48635634028892,89.37152744940504,89.48635634028892,89.42721581073428,294
4,89.51310861423221,89.40728002641963,89.51310861423221,89.45872307271243,295
5,89.51310861423221,89.40728002641963,89.51310861423221,89.45872307271243,295
6,89.51310861423221,89.40728002641963,89.51310861423221,89.45872307271243,295
7,89.51310861423221,89.40728002641963,89.51310861423221,89.45872307271243,295
8,89.51310861423221,89.40728002641963,89.51310861423221,89.45872307271243,295
9,89.51310861423221,89.40728002641963,89.51310861423221,89.45872307271243,295
10,89.51310861423221,89.40728002641963,89.51310861423221,89.45872307271243,295
11,89.51310861423221,89.40728002641963,89.51310861423221,89.45872307271243,295
12,89.51310861423221,89.40728002641963,89.51310861423221,89.45872307271243,295
13,89.51310861423221,89.40728002641963,89.51310861423221,89.45872307271243,295
14,89.51310861423221,89.40728002641963,89.51310861423221,89.45872307271243,295
15,89.51310861423221,89.40728002641963,89.51310861423221,89.45872307271243,295
16,89.51310861423221,89.40728002641963,89.51310861423221,89.45872307271243,295
17,89.51310861423221,89.40728002641963,89.51310861423221,89.45872307271243,295
18,89.45960406634565,89.38837499469324,89.45960406634565,89.42334023138103,296
19,89.45960406634565,89.38837499469324,89.45960406634565,89.42334023138103,296
20,89.43285179240236,89.37029858436982,89.43285179240236,89.40107928407774,296
21,89.45960406634565,89.35321225313207,89.45960406634565,89.4049410475732,294
22,89.45960406634565,89.35321225313207,89.45960406634565,89.4049410475732,294
23,89.45960406634565,89.35321225313207,89.45960406634565,89.4049410475732,294
24,89.45960406634565,89.35321225313207,89.45960406634565,89.4049410475732,294
25,89.45960406634565,89.35321225313207,89.45960406634565,89.4049410475732,294
26,89.45960406634565,89.35321225313207,89.45960406634565,89.4049410475732,294
27,89.45960406634565,89.35321225313207,89.45960406634565,89.4049410475732,294
28,81.51417870518995,74.54499243327331,81.51417870518995,77.8739729354519,0
29,81.51417870518995,74.54499243327331,81.51417870518995,77.8739729354519,0
30,81.67469234884965,74.56554307116104,81.67469234884965,77.95837959140678,0
31,81.67469234884965,74.56554307116104,81.67469234884965,77.95837959140678,0
32,81.67469234884965,74.56554307116104,81.67469234884965,77.95837959140678,0
33,81.67469234884965,74.56554307116104,81.67469234884965,77.95837959140678,0
34,81.67469234884965,74.56554307116104,81.67469234884965,77.95837959140678,0
35,81.67469234884965,74.56554307116104,81.67469234884965,77.95837959140678,0
36,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
37,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
38,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
39,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
40,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
41,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
42,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
43,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
44,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
45,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
46,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
47,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
48,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
49,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
50,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
51,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
52,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
53,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
54,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
55,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
56,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
57,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
58,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
59,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
60,81.72819689673622,74.57237785538346,81.72819689673622,77.98648200863305,0
61,81.67469234884965,74.56554307116104,81.67469234884965,77.95837959140678,0
62,81.67469234884965,74.56554307116104,81.67469234884965,77.95837959140678,0
63,81.67469234884965,74.56554307116104,81.67469234884965,77.95837959140678,0
64,81.67469234884965,74.56554307116104,81.67469234884965,77.95837959140678,0
65,81.67469234884965,74.56554307116104,81.67469234884965,77.95837959140678,0
66,81.67469234884965,74.56554307116104,81.67469234884965,77.95837959140678,0
67,81.75494917067951,74.83744531559728,81.75494917067951,78.10878623887166,1539
68,81.75494917067951,74.83744531559728,81.75494917067951,78.10878623887166,1539
69,81.75494917067951,74.83744531559728,81.75494917067951,78.10878623887166,1539
70,81.75494917067951,74.83744531559728,81.75494917067951,78.10878623887166,1539
71,81.4071696094168,74.53125330624854,81.4071696094168,77.81761884799288,0
72,81.4071696094168,74.53125330624854,81.4071696094168,77.81761884799288,0
73,81.4071696094168,74.53125330624854,81.4071696094168,77.81761884799288,0
74,81.4071696094168,74.53125330624854,81.4071696094168,77.81761884799288,0
75,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
76,82.04922418405565,76.14174159487897,82.04922418405565,78.81935491165092,1611
