n_features,accuracy,w_precision,w_recall,w_f1score,predict_s
1,0.19779598756710934,3.174245223552937,0.19779598756710934,0.3723874825149527,0
2,0.2543091268719977,4.042304121422516,0.2543091268719977,0.47851401662836995,0
3,94.32042949985872,88.96343421037818,94.32042949985872,91.56364509830694,0
4,94.32042949985872,88.96343421037818,94.32042949985872,91.56364509830694,0
5,94.32042949985872,88.96343421037818,94.32042949985872,91.56364509830694,0
6,89.20599039276632,88.67468610216021,89.20599039276632,88.93954478227418,0
7,89.20599039276632,88.67468610216021,89.20599039276632,88.93954478227418,0
8,93.89658095507205,96.48070568737147,93.89658095507205,94.74954447111456,1292
9,93.58575868889517,96.40179819102322,93.58575868889517,94.51794602589923,1292
10,93.58575868889517,96.40179819102322,93.58575868889517,94.51794602589923,1292
11,93.58575868889517,96.40179819102322,93.58575868889517,94.51794602589923,1292
12,93.58575868889517,96.40179819102322,93.58575868889517,94.51794602589923,1292
13,93.98135066402938,96.50300469038224,93.98135066402938,94.8130496356315,1292
14,93.86832438541961,96.47334881411645,93.86832438541961,94.72840938367493,1292
15,93.95309409437694,96.49553332159782,93.95309409437694,94.79186448459062,1292
16,93.98135066402938,96.50300469038224,93.98135066402938,94.8130496356315,1292
17,93.98135066402938,96.50300469038224,93.98135066402938,94.8130496356315,1292
18,93.98135066402938,96.50300469038224,93.98135066402938,94.8130496356315,1292
19,94.03786380333428,96.51806407519423,94.03786380333428,94.8554707945789,1292
20,94.03786380333428,96.51806407519423,94.03786380333428,94.8554707945789,1292
21,94.03786380333428,96.51806407519423,94.03786380333428,94.8554707945789,1292
22,94.03786380333428,96.51806407519423,94.03786380333428,94.8554707945789,1292
23,88.72562870867476,88.7519204466726,88.72562870867476,88.73877224019198,1224
24,88.83865498728454,88.75979067661962,88.83865498728454,88.79920170892477,1224
25,88.52783272110766,88.63404487794162,88.52783272110766,88.58090696134813,0
26,88.52783272110766,88.63404487794162,88.52783272110766,88.58090696134813,0
27,88.52783272110766,88.63404487794162,88.52783272110766,88.58090696134813,0
28,88.52783272110766,88.63404487794162,88.52783272110766,88.58090696134813,0
29,88.52783272110766,88.63404487794162,88.52783272110766,88.58090696134813,0
30,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
31,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
32,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
33,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
34,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
35,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
36,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
37,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
38,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
39,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
40,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
41,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
42,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
43,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
44,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
45,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
46,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
47,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
48,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
49,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
50,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
51,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
52,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
53,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
54,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
55,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
56,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
57,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
58,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
59,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
60,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
61,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
62,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
63,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
64,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
65,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
66,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
67,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
68,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
69,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
70,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
71,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
72,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
73,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
74,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
75,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
76,89.23424696241877,89.64641711018945,89.23424696241877,89.43890315514777,1315
