n_features,accuracy,w_precision,w_recall,w_f1score,predict_s
1,24.162207828780623,54.764602548159345,24.162207828780623,33.29529133567431,1977
2,24.162207828780623,54.764602548159345,24.162207828780623,33.29529133567431,1977
3,13.996057448606026,1.9588962410468023,13.996057448606026,3.436778928832606,1977
4,75.4153759504365,90.53759620267319,75.4153759504365,79.0917610888683,1605
5,32.01914953534216,86.92935097354435,32.01914953534216,34.15155140136421,1604
6,32.80765981413686,87.01038492675713,32.80765981413686,35.246077032687566,1604
7,32.779498732751335,86.88384368012943,32.779498732751335,35.23061569274404,1603
8,75.55618135736412,90.47504409547712,75.55618135736412,79.20332496072243,1603
9,75.35905378766545,90.44684104892181,75.35905378766545,79.04206253863283,1603
10,31.990988453956632,87.05574926562379,31.990988453956632,34.087950050909605,1604
11,31.990988453956632,87.05574926562379,31.990988453956632,34.087950050909605,1604
12,75.58434243874966,90.52030294785477,75.58434243874966,79.22821250109243,1604
13,31.793860884257956,87.03604683674426,31.793860884257956,33.81155380941148,1604
14,32.779498732751335,87.13198185161167,32.779498732751335,35.18384705506187,1604
15,32.779498732751335,87.13198185161167,32.779498732751335,35.18384705506187,1604
16,76.34469163615883,90.59056456993385,76.34469163615883,79.84702958973759,1603
17,31.850183047029006,87.97594588607814,31.850183047029006,33.71889136922573,1610
18,75.44353703182202,90.79110010114833,75.44353703182202,79.12521834830434,1610
19,75.44353703182202,90.79110010114833,75.44353703182202,79.12521834830434,1610
20,75.44353703182202,90.79110010114833,75.44353703182202,79.12521834830434,1610
21,31.765699802872433,87.97160200735668,31.765699802872433,33.59962519340291,1610
22,34.15939172064208,61.12238536539928,34.15939172064208,43.77302871351568,960
23,34.24387496479865,61.16626771271987,34.24387496479865,43.85395718100107,960
24,77.83722894959166,72.89631929225787,77.83722894959166,75.2857948415053,0
25,34.15939172064208,61.12238536539928,34.15939172064208,43.77302871351568,960
26,77.640101379893,72.86812219243798,77.640101379893,75.17846214781014,0
27,70.88144184736694,71.82213782410705,70.88144184736694,71.34868932164095,0
28,26.21796676992397,56.27163722965277,26.21796676992396,35.63427662834703,1609
29,34.0749084764855,61.16480498284042,34.0749084764855,43.67399492848981,1610
30,77.55561813573641,73.04841685315864,77.55561813573641,75.22661222297272,1610
31,34.0749084764855,61.16480498284042,34.0749084764855,43.67399492848981,1610
32,33.99042523232892,61.03415593800311,33.99042523232892,43.61086580150742,960
33,77.47113489157984,72.84385651443498,77.47113489157984,75.08627291618053,0
34,33.99042523232892,61.03415593800311,33.99042523232892,43.61086580150742,960
35,33.99042523232892,61.03415593800311,33.99042523232892,43.61086580150742,960
36,77.47113489157984,72.84385651443498,77.47113489157984,75.08627291618053,0
37,77.47113489157984,72.84385651443498,77.47113489157984,75.08627291618053,0
38,34.04674739509998,61.1212208546836,34.04674739509998,43.652958102122966,960
39,77.55561813573641,73.04841685315864,77.55561813573641,75.22661222297272,1610
40,34.0749084764855,61.16480498284042,34.0749084764855,43.67399492848981,1610
41,77.55561813573641,73.04841685315864,77.55561813573641,75.22661222297272,1610
42,34.0749084764855,61.16480498284042,34.0749084764855,43.67399492848981,1610
43,34.0749084764855,61.16480498284042,34.0749084764855,43.67399492848981,1610
44,77.55561813573641,73.04841685315864,77.55561813573641,75.22661222297272,1610
45,77.55561813573641,73.04841685315864,77.55561813573641,75.22661222297272,1610
46,34.0749084764855,61.16480498284042,34.0749084764855,43.67399492848981,1610
47,77.86539003097718,72.90033757038759,77.86539003097718,75.30110866200263,0
48,34.384680371726276,61.23906353574652,34.384680371726276,43.988611979635415,960
49,34.384680371726276,61.23906353574652,34.384680371726276,43.988611979635415,960
50,77.86539003097718,72.90033757038759,77.86539003097718,75.30110866200263,0
51,34.384680371726276,61.23906353574652,34.384680371726276,43.988611979635415,960
52,85.77865390030978,73.93960175318827,85.77865390030978,79.42034531197393,0
53,85.94762038862292,73.95999793374314,85.94762038862292,79.5044775607616,0
54,42.46691072937201,64.80814887102156,42.46691072937201,51.27214493082249,960
55,42.46691072937201,64.80814887102156,42.46691072937201,51.27214493082249,960
56,42.46691072937201,64.80814887102156,42.46691072937201,51.27214493082249,960
57,42.46691072937201,64.80814887102156,42.46691072937201,51.27214493082249,960
58,85.94762038862292,73.95999793374314,85.94762038862292,79.5044775607616,0
59,85.94762038862292,73.95999793374314,85.94762038862292,79.5044775607616,0
60,42.52323289214306,64.8294377369235,42.52323289214306,51.320007571202055,960
61,86.00394255139398,73.96678134383475,86.00394255139398,79.53248767659566,0
62,42.52323289214306,64.8294377369235,42.52323289214306,51.320007571202055,960
63,62.54576175725148,70.31453511219803,62.54576175725148,66.20082531413193,957
64,62.54576175725148,70.31453511219803,62.54576175725148,66.20082531413193,957
65,62.54576175725148,70.31453511219803,62.54576175725148,66.20082531413193,957
66,62.48943959448042,70.30292087513467,62.48943959448042,66.16409891302754,957
67,62.48943959448042,70.30292087513467,62.48943959448042,66.16409891302754,957
68,62.54576175725148,70.31453511219803,62.54576175725148,66.20082531413193,957
69,62.54576175725148,70.31453511219803,62.54576175725148,66.20082531413193,957
70,62.48943959448042,70.30292087513467,62.48943959448042,66.16409891302754,957
71,62.54576175725148,70.31453511219803,62.54576175725148,66.20082531413193,957
72,62.48943959448042,70.30292087513467,62.48943959448042,66.16409891302754,957
73,74.76767107856942,72.60286574129026,74.76767107856942,73.66808585276583,960
74,74.93663756688257,72.63013177023657,74.93663756688257,73.76387484023827,960
75,74.76767107856942,72.60286574129026,74.76767107856942,73.66808585276583,960
76,74.93663756688257,72.63013177023657,74.93663756688257,73.76387484023827,960
77,74.76767107856942,72.60286574129026,74.76767107856942,73.66808585276583,960
78,74.76767107856942,72.60286574129026,74.76767107856942,73.66808585276583,960
79,78.11883976344691,72.93639151255485,78.11883976344691,75.43871514231364,0
80,78.11883976344691,72.93639151255485,78.11883976344691,75.43871514231364,0
81,78.11883976344691,72.93639151255485,78.11883976344691,75.43871514231364,0
82,78.11883976344691,72.93639151255485,78.11883976344691,75.43871514231364,0
83,79.94931005350605,73.19100506696869,79.94931005350605,76.42103064269405,0
