n_features,accuracy,w_precision,w_recall,w_f1score,predict_s
1,13.996057448606026,1.9588962410468023,13.996057448606026,3.436778928832606,1977
2,86.00394255139398,73.96678134383475,86.00394255139398,79.53248767659566,0
3,76.54181920585751,72.70877631561083,76.54181920585751,74.57607779699755,0
4,73.75387214869052,72.2863689159502,73.75387214869052,73.01274733941679,0
5,74.99295972965362,72.47737310581081,74.99295972965362,73.7137106579859,0
6,74.99295972965362,72.47737310581081,74.99295972965362,73.7137106579859,0
7,74.99295972965362,72.47737310581081,74.99295972965362,73.7137106579859,0
8,74.99295972965362,72.47737310581081,74.99295972965362,73.7137106579859,0
9,74.99295972965362,72.47737310581081,74.99295972965362,73.7137106579859,0
10,74.88031540411151,72.46022916481513,74.88031540411151,73.65039718008262,0
11,74.90847648549705,72.46451922290402,74.90847648549705,73.66623319488262,0
12,74.17628836947338,72.35208709050518,74.17628836947338,73.25283255630453,0
13,74.17628836947338,72.35208709050518,74.17628836947338,73.25283255630453,0
14,74.17628836947338,72.35208709050518,74.17628836947338,73.25283255630453,0
15,74.6268656716418,72.42149595207945,74.6268656716418,73.50764320631963,0
16,74.6268656716418,72.42149595207945,74.6268656716418,73.50764320631963,0
17,74.65502675302731,72.42581057933464,74.65502675302731,73.52352521887953,0
18,78.62573922838637,73.00790745013438,78.62573922838637,75.71275661469085,0
19,78.76654463531399,73.02763427937127,78.76654463531399,75.78860343927188,0
20,78.82286679808504,73.03550825283729,78.82286679808504,75.81890872483518,0
21,77.86539003097718,72.90033757038759,77.86539003097718,75.30110866200263,0
22,77.86539003097718,72.90033757038759,77.86539003097718,75.30110866200263,0
23,78.3159673331456,72.96429659408989,78.3159673331456,75.5454719631796,0
24,78.3159673331456,72.96429659408989,78.3159673331456,75.5454719631796,0
25,78.51309490284427,72.99208274985888,78.51309490284427,75.65199300624276,0
26,78.79470571669953,73.03157246094094,78.79470571669953,75.80375846867233,0
27,80.56885384398761,73.27494926728355,80.56885384398761,76.74899552075426,0
28,76.42917488031541,72.6922142897799,76.42917488031541,74.5138707372652,0
29,76.59814136862856,72.71704188367784,76.59814136862856,74.60715156746662,0
30,75.78147000844832,72.59617609968669,75.78147000844832,74.15463294001961,0
31,75.47169811320755,72.54975323819195,75.47169811320755,73.98188606571524,0
32,75.4153759504365,72.54127815830962,75.4153759504365,73.95041199313953,0
33,73.35961700929316,72.22445852559035,73.35961700929316,72.78761219830452,0
34,73.72571106730499,72.2819652004974,73.72571106730499,72.99670014574467,0
35,73.33145592790763,72.22001496415025,73.33145592790763,72.7714919265085,0
36,73.33145592790763,72.22001496415025,73.33145592790763,72.7714919265085,0
37,76.7671078569417,72.7417770385045,76.7671078569417,74.70025406885455,0
38,76.7671078569417,72.7417770385045,76.7671078569417,74.70025406885455,0
39,76.59814136862856,72.71704188367784,76.59814136862856,74.60715156746662,0
40,76.40101379892988,72.68806733393515,76.40101379892988,74.49830655872664,0
41,76.40101379892988,72.68806733393515,76.40101379892988,74.49830655872664,0
42,76.40101379892988,72.68806733393515,76.40101379892988,74.49830655872664,0
43,76.40101379892988,72.68806733393515,76.40101379892988,74.49830655872664,0
44,76.56998028724303,72.71291038471401,76.56998028724303,74.59161716020421,0
45,76.54181920585751,72.70877631561083,76.54181920585751,74.57607779699755,0
46,76.68262461278513,72.72942098367882,76.68262461278513,74.65372507728586,0
47,76.00675865953252,72.62973746752576,76.00675865953252,74.27988510278794,0
48,77.33032948465221,72.82356652671224,77.33032948465221,75.00931435481273,0
49,77.33032948465221,72.82356652671224,77.33032948465221,75.00931435481273,0
50,77.04871867079696,72.78279827423877,77.04871867079696,74.85503000496705,0
51,76.23204731061672,72.6631312380223,76.23204731061672,74.4048170299212,0
52,77.80906786820614,72.89229854892686,77.80906786820614,75.27047617025706,0
53,77.80906786820614,72.89229854892686,77.80906786820614,75.27047617025706,0
54,77.30216840326668,72.81950101899335,77.30216840326668,74.9939079744525,0
55,77.30216840326668,72.81950101899335,77.30216840326668,74.9939079744525,0
56,77.33032948465221,72.82356652671224,77.33032948465221,75.00931435481273,0
57,77.33032948465221,72.82356652671224,77.33032948465221,75.00931435481273,0
