n_features,accuracy,w_precision,w_recall,w_f1score,predict_s
1,22.35434007134364,51.523742774441104,22.35434007134364,30.990015897954247,1977
2,83.91795481569561,72.46770375198773,83.91795481569561,77.77364682611905,0
3,83.91795481569561,72.46770375198773,83.91795481569561,77.77364682611905,0
4,51.15933412604042,66.2651951598685,51.15933412604042,57.71701188991288,960
5,85.22592152199763,72.63457699273698,85.22592152199763,78.42809083728686,0
6,85.22592152199763,72.63457699273698,85.22592152199763,78.42809083728686,0
7,81.18311533888229,72.58774758761834,81.18311533888229,76.54748562109674,960
8,80.97502972651606,72.07556976899147,80.97502972651606,76.26656052099918,0
9,85.22592152199763,72.63457699273698,85.22592152199763,78.42809083728686,0
10,84.36385255648038,72.52508704030862,84.36385255648038,77.99779596240866,0
11,84.36385255648038,72.52508704030862,84.36385255648038,77.99779596240866,0
12,85.16646848989299,72.627086603368,85.16646848989299,78.3985439590699,0
13,84.30439952437574,72.51746577749333,84.30439952437574,77.9679720762533,0
14,84.30439952437574,72.51746577749333,84.30439952437574,77.9679720762533,0
15,85.16646848989299,72.627086603368,85.16646848989299,78.3985439590699,0
16,84.36385255648038,72.52508704030862,84.36385255648038,77.99779596240866,0
17,84.36385255648038,72.52508704030862,84.36385255648038,77.99779596240866,0
18,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
19,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
20,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
21,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
22,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
23,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
24,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
25,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
26,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
27,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
28,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
29,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
30,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
31,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
32,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
33,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
34,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
35,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
36,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
37,83.47205707491082,72.40979958661704,83.47205707491082,77.54840817685331,0
38,83.47205707491082,72.40979958661704,83.47205707491082,77.54840817685331,0
39,83.47205707491082,72.40979958661704,83.47205707491082,77.54840817685331,0
40,83.47205707491082,72.40979958661704,83.47205707491082,77.54840817685331,0
41,83.47205707491082,72.40979958661704,83.47205707491082,77.54840817685331,0
42,83.47205707491082,72.40979958661704,83.47205707491082,77.54840817685331,0
43,83.47205707491082,72.40979958661704,83.47205707491082,77.54840817685331,0
44,83.47205707491082,72.40979958661704,83.47205707491082,77.54840817685331,0
45,83.47205707491082,72.40979958661704,83.47205707491082,77.54840817685331,0
46,83.47205707491082,72.40979958661704,83.47205707491082,77.54840817685331,0
47,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
48,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
49,83.5909631391201,72.42529202775985,83.5909631391201,77.60857879529057,0
50,82.40190249702735,72.26866150473458,82.40190249702735,77.00334239210477,0
51,82.34244946492271,72.26072929780636,82.34244946492271,76.97287336678625,0
52,82.93697978596909,72.33961699007403,82.93697978596909,77.27667242326076,0
53,83.4423305588585,72.40592061508696,83.4423305588585,77.53335333406169,0
54,83.4423305588585,72.40592061508696,83.4423305588585,77.53335333406169,0
55,82.93697978596909,72.33961699007403,82.93697978596909,77.27667242326076,0
56,82.93697978596909,72.33961699007403,82.93697978596909,77.27667242326076,0
57,82.93697978596909,72.33961699007403,82.93697978596909,77.27667242326076,0
58,82.93697978596909,72.33961699007403,82.93697978596909,77.27667242326076,0
59,83.4423305588585,72.40592061508696,83.4423305588585,77.53335333406169,0
60,83.4423305588585,72.40592061508696,83.4423305588585,77.53335333406169,0
61,82.93697978596909,72.33961699007403,82.93697978596909,77.27667242326076,0
62,82.93697978596909,72.33961699007403,82.93697978596909,77.27667242326076,0
63,83.05588585017836,72.35527946899464,83.05588585017836,77.33719543113392,0
64,83.91795481569561,72.46770375198773,83.91795481569561,77.77364682611905,0
65,83.91795481569561,72.46770375198773,83.91795481569561,77.77364682611905,0
66,83.91795481569561,72.46770375198773,83.91795481569561,77.77364682611905,0
67,83.05588585017836,72.35527946899464,83.05588585017836,77.33719543113392,0
68,83.91795481569561,72.46770375198773,83.91795481569561,77.77364682611905,0
69,83.91795481569561,72.46770375198773,83.91795481569561,77.77364682611905,0
70,83.05588585017836,72.35527946899464,83.05588585017836,77.33719543113392,0
71,83.91795481569561,72.46770375198773,83.91795481569561,77.77364682611905,0
72,83.91795481569561,72.46770375198773,83.91795481569561,77.77364682611905,0
73,83.05588585017836,72.35527946899464,83.05588585017836,77.33719543113392,0
74,83.91795481569561,72.46770375198773,83.91795481569561,77.77364682611905,0
75,83.91795481569561,72.46770375198773,83.91795481569561,77.77364682611905,0
76,83.91795481569561,72.46770375198773,83.91795481569561,77.77364682611905,0
77,82.81807372175982,72.3239163448935,82.81807372175982,77.21607068627166,0
78,82.90725326991677,72.33569541231022,82.90725326991677,77.26152937586588,0
79,82.90725326991677,72.33569541231022,82.90725326991677,77.26152937586588,0
80,83.50178359096314,72.41367621152189,83.50178359096314,77.5634581420027,0
81,81.18311533888229,72.10408664082266,81.18311533888229,76.37473065679262,0
82,81.18311533888229,72.10408664082266,81.18311533888229,76.37473065679262,0
83,81.21284185493461,72.10815038652756,81.21284185493461,76.390163253969,0
84,84.15576694411415,72.4983725447041,84.15576694411415,77.89332811259897,0
85,84.15576694411415,72.4983725447041,84.15576694411415,77.89332811259897,0
86,84.21521997621879,72.50601671826405,84.21521997621879,77.92320015227344,0
87,84.21521997621879,72.50601671826405,84.21521997621879,77.92320015227344,0
88,84.33412604042806,72.5212775518618,84.33412604042806,77.98288642409523,0
89,84.18549346016647,72.50219577960266,84.18549346016647,77.90826654302688,0
90,84.18549346016647,72.50219577960266,84.18549346016647,77.90826654302688,0
91,84.18549346016647,72.50219577960266,84.18549346016647,77.90826654302688,0
92,83.08561236623068,72.35918914155022,83.08561236623068,77.35231389965364,0
93,82.93697978596909,72.33961699007403,82.93697978596909,77.27667242326076,0
94,82.63971462544589,72.30029350965927,82.63971462544589,77.12502012732857,0
95,82.75862068965517,72.31605166633386,82.75862068965517,77.18574024633747,0
96,82.7883472057075,72.31998520376702,82.7883472057075,77.20090793259502,0
97,82.81807372175982,72.3239163448935,82.81807372175982,77.21607068627166,0
98,85.10701545778835,72.6195872968688,85.10701545778835,78.36897810100504,0
99,85.10701545778835,72.6195872968688,85.10701545778835,78.36897810100504,0
100,85.10701545778835,72.6195872968688,85.10701545778835,78.36897810100504,0
101,85.22592152199763,72.63457699273698,85.22592152199763,78.42809083728686,0
102,85.22592152199763,72.63457699273698,85.22592152199763,78.42809083728686,0
103,85.22592152199763,72.63457699273698,85.22592152199763,78.42809083728686,0
104,82.81807372175982,72.3239163448935,82.81807372175982,77.21607068627166,0
105,82.81807372175982,72.3239163448935,82.81807372175982,77.21607068627166,0
106,82.81807372175982,72.3239163448935,82.81807372175982,77.21607068627166,0
107,82.84780023781212,72.32784509190236,82.84780023781212,77.23122850977316,0
108,82.7883472057075,72.31998520376702,82.7883472057075,77.20090793259502,0
109,82.7883472057075,72.31998520376702,82.7883472057075,77.20090793259502,0
110,82.87752675386444,72.33177144698001,82.87752675386444,77.2463814055037,0
111,82.75862068965517,72.31605166633386,82.75862068965517,77.18574024633747,0
112,82.75862068965517,72.31605166633386,82.75862068965517,77.18574024633747,0
113,82.75862068965517,72.31605166633386,82.75862068965517,77.18574024633747,0
114,82.75862068965517,72.31605166633386,82.75862068965517,77.18574024633747,0
115,82.75862068965517,72.31605166633386,82.75862068965517,77.18574024633747,0
116,82.75862068965517,72.31605166633386,82.75862068965517,77.18574024633747,0
117,82.75862068965517,72.31605166633386,82.75862068965517,77.18574024633747,0
118,82.75862068965517,72.31605166633386,82.75862068965517,77.18574024633747,0
119,82.75862068965517,72.31605166633386,82.75862068965517,77.18574024633747,0
120,82.75862068965517,72.31605166633386,82.75862068965517,77.18574024633747,0
121,82.75862068965517,72.31605166633386,82.75862068965517,77.18574024633747,0
122,82.75862068965517,72.31605166633386,82.75862068965517,77.18574024633747,0
123,82.75862068965517,72.31605166633386,82.75862068965517,77.18574024633747,0
124,82.40190249702735,72.26866150473458,82.40190249702735,77.00334239210477,0
125,82.46135552913199,72.2765840116238,82.46135552913199,77.03379156142763,0
126,82.52080856123662,72.28449683625585,82.52080856123662,77.06422089415811,0
127,82.52080856123662,72.28449683625585,82.52080856123662,77.06422089415811,0
128,82.52080856123662,72.28449683625585,82.52080856123662,77.06422089415811,0
129,82.52080856123662,72.28449683625585,82.52080856123662,77.06422089415811,0
130,82.52080856123662,72.28449683625585,82.52080856123662,77.06422089415811,0
131,82.52080856123662,72.28449683625585,82.52080856123662,77.06422089415811,0
132,82.46135552913199,72.2765840116238,82.46135552913199,77.03379156142763,0
133,82.46135552913199,72.2765840116238,82.46135552913199,77.03379156142763,0
134,82.46135552913199,72.2765840116238,82.46135552913199,77.03379156142763,0
135,82.46135552913199,72.2765840116238,82.46135552913199,77.03379156142763,0
136,82.46135552913199,72.2765840116238,82.46135552913199,77.03379156142763,0
137,82.46135552913199,72.2765840116238,82.46135552913199,77.03379156142763,0
138,81.45065398335315,72.14056996301312,81.45065398335315,76.51344199550245,0
139,81.65873959571938,72.16880592507012,81.65873959571938,76.62104612041482,0
140,81.86682520808561,72.19692029270422,81.86682520808561,76.72840401163172,0
141,81.86682520808561,72.19692029270422,81.86682520808561,76.72840401163172,0
142,81.86682520808561,72.19692029270422,81.86682520808561,76.72840401163172,0
143,81.86682520808561,72.19692029270422,81.86682520808561,76.72840401163172,0
144,81.86682520808561,72.19692029270422,81.86682520808561,76.72840401163172,0
145,81.86682520808561,72.19692029270422,81.86682520808561,76.72840401163172,0
146,81.98573127229488,72.21293135412272,81.98573127229488,76.78964114918962,0
147,81.95600475624258,72.2089322790865,81.95600475624258,76.77433936812528,0
148,81.95600475624258,72.2089322790865,81.95600475624258,76.77433936812528,0
149,81.95600475624258,72.2089322790865,81.95600475624258,76.77433936812528,0
150,82.10463733650415,72.22890311253678,82.10463733650415,76.8507983166038,0
151,82.10463733650415,72.22890311253678,82.10463733650415,76.8507983166038,0
152,82.10463733650415,72.22890311253678,82.10463733650415,76.8507983166038,0
153,82.10463733650415,72.22890311253678,82.10463733650415,76.8507983166038,0
154,82.10463733650415,72.22890311253678,82.10463733650415,76.8507983166038,0
155,82.10463733650415,72.22890311253678,82.10463733650415,76.8507983166038,0
156,82.10463733650415,72.22890311253678,82.10463733650415,76.8507983166038,0
