n_features,accuracy,w_precision,w_recall,w_f1score,predict_s
1,24.137931034482758,53.07453331997958,24.13793103448276,33.02142456040215,1977
2,27.348394768133176,55.56503315798719,27.348394768133176,36.50783446772289,1977
3,25.356718192627824,54.06744670496989,25.356718192627824,34.366014628753625,1977
4,23.21640903686088,52.23663874631869,23.21640903686088,32.01615552504576,1977
5,61.80142687277051,78.37719177844953,61.80142687277051,67.23912108053884,1611
6,71.22473246135553,80.59024953830404,71.22473246135553,74.64488073915983,1611
7,71.19500594530321,80.51112042346632,71.19500594530321,74.60826892797226,1611
8,92.12247324613556,92.07364811824598,92.12247324613556,91.1660831276156,1611
9,71.13555291319858,80.38874091297143,71.13555291319858,74.54180198513997,1611
10,79.42925089179548,80.10255369296706,79.42925089179548,79.75488359772243,1611
11,80.35077288941737,81.48807792344762,80.35077288941737,80.8825707954416,1611
12,80.23186682520809,81.31165518867753,80.23186682520809,80.73916792320364,1611
13,80.23186682520809,81.31165518867753,80.23186682520809,80.73916792320364,1611
14,80.97502972651606,82.40440301813597,80.97502972651606,81.6257624202821,1611
15,77.46730083234245,90.65150356104628,77.46730083234245,80.60361397069532,1611
16,77.49702734839477,90.65641264382563,77.49702734839477,80.62805676311264,1611
17,77.43757431629012,90.64660194102424,77.43757431629012,80.57916885236187,1611
18,77.43757431629012,90.64660194102424,77.43757431629012,80.57916885236187,1611
19,77.46730083234245,90.65150356104628,77.46730083234245,80.60361397069532,1611
20,77.46730083234245,90.65150356104628,77.46730083234245,80.60361397069532,1611
21,77.46730083234245,90.65150356104628,77.46730083234245,80.60361397069532,1611
22,77.49702734839477,90.65641264382563,77.49702734839477,80.62805676311264,1611
23,77.49702734839477,90.65641264382563,77.49702734839477,80.62805676311264,1611
24,77.49702734839477,90.65641264382563,77.49702734839477,80.62805676311264,1611
25,77.49702734839477,90.65641264382563,77.49702734839477,80.62805676311264,1611
26,77.28894173602853,90.62220512717568,77.28894173602853,80.45690787180872,1611
27,77.34839476813318,90.63194167003546,77.34839476813318,80.50581939887526,1611
