n_features,accuracy,w_precision,w_recall,w_f1score,predict_s
1,5.994631673128541,0.35935608896475896,5.994631673128541,0.6780646968479668,1681
2,11.54190277363555,62.4159329126485,11.54190277363555,19.093927853622063,1681
3,11.54190277363555,62.4159329126485,11.54190277363555,19.093927853622063,1681
4,11.54190277363555,62.4159329126485,11.54190277363555,19.093927853622063,1681
5,11.54190277363555,62.4159329126485,11.54190277363555,19.093927853622063,1681
6,11.54190277363555,62.4159329126485,11.54190277363555,19.093927853622063,1681
7,11.54190277363555,62.4159329126485,11.54190277363555,19.093927853622063,1681
8,11.54190277363555,62.4159329126485,11.54190277363555,19.093927853622063,1681
9,94.00536832687146,88.37009274270768,94.00536832687146,91.1006674761872,0
10,11.54190277363555,62.4159329126485,11.54190277363555,19.093927853622063,1681
11,11.54190277363555,62.4159329126485,11.54190277363555,19.093927853622063,1681
12,94.00536832687146,88.37009274270768,94.00536832687146,91.1006674761872,0
13,94.00536832687146,88.37009274270768,94.00536832687146,91.1006674761872,0
14,11.54190277363555,62.4159329126485,11.54190277363555,19.093927853622063,1681
15,11.54190277363555,62.4159329126485,11.54190277363555,19.093927853622063,1681
16,11.54190277363555,62.4159329126485,11.54190277363555,19.093927853622063,1681
17,92.48434237995825,88.28305487026904,92.48434237995825,90.3348767219177,0
18,91.82821354011334,88.24467349952356,91.82821354011334,90.0007864049867,0
19,91.82821354011334,88.24467349952356,91.82821354011334,90.0007864049867,0
20,91.82821354011334,88.24467349952356,91.82821354011334,90.0007864049867,0
21,90.33701163137489,88.15549865699494,90.33701163137489,89.23292405581122,0
22,90.33701163137489,88.15549865699494,90.33701163137489,89.23292405581122,0
23,90.0387712496272,88.13733135988352,90.0387712496272,89.07790551752196,0
24,90.36683566954966,88.15730920161575,90.36683566954966,89.24839919486779,0
25,90.36683566954966,88.15730920161575,90.36683566954966,89.24839919486779,0
26,90.36683566954966,88.15730920161575,90.36683566954966,89.24839919486779,0
27,90.36683566954966,88.15730920161575,90.36683566954966,89.24839919486779,0
