n_features,accuracy,w_precision,w_recall,w_f1score,predict_s
1,5.994631673128541,0.35935608896475896,5.994631673128541,0.6780646968479668,1681
2,47.24127646883388,83.5990538312835,47.24127646883388,60.294174485274766,664
3,47.24127646883388,83.5990538312835,47.24127646883388,60.294174485274766,664
4,47.24127646883388,83.5990538312835,47.24127646883388,60.294174485274766,664
5,47.24127646883388,83.5990538312835,47.24127646883388,60.294174485274766,664
6,36.95198329853862,81.08554787601348,36.95198329853862,50.675579810351444,664
7,37.13092752758724,81.13954652375425,37.13092752758724,50.855196516565705,664
8,86.51953474500448,95.01364988689983,86.51953474500448,89.44819444367631,1289
9,72.56188487921264,93.21974607961036,72.56188487921264,79.7286269150713,1265
10,84.75991649269311,94.15055794831815,84.75991649269311,88.14336955018844,1271
11,85.35639725618849,94.24849269094426,85.35639725618849,88.55339976171511,1272
12,85.89322994333432,93.74086071137108,85.89322994333432,88.81630712738394,1257
13,87.77214434834477,94.19635493187538,87.77214434834477,90.13289564262767,1270
14,87.74232031017,94.19234308727039,87.74232031017,90.11255177675073,1270
15,87.77214434834477,94.19635493187538,87.77214434834477,90.13289564262767,1270
16,87.92126453921861,94.47339356937778,87.92126453921861,90.2857548789661,1271
17,87.92126453921861,94.47339356937778,87.92126453921861,90.2857548789661,1271
18,82.19504920966298,93.49292121211211,82.19504920966298,86.3491833828933,1260
19,83.47748285117805,94.41929780767964,83.47748285117805,87.32981898836452,1281
20,87.17566358484939,94.8614722391342,87.17566358484939,89.86165430742231,1283
21,91.20190873844318,95.25168319757906,91.20190873844318,92.62515988121041,1277
22,92.18610199821056,95.45928606555239,92.18610199821056,93.33377658202659,1277
23,92.18610199821056,95.45928606555239,92.18610199821056,93.33377658202659,1277
24,92.18610199821056,95.45928606555239,92.18610199821056,93.33377658202659,1277
25,92.18610199821056,95.45928606555239,92.18610199821056,93.33377658202659,1277
26,92.18610199821056,95.45928606555239,92.18610199821056,93.33377658202659,1277
27,84.22308380554728,91.85569640325461,84.22308380554728,87.34811901107383,1681
28,84.34237995824635,92.02065375519791,84.34237995824635,87.46155128504294,1681
29,81.53892036981807,90.35140693452975,81.53892036981807,85.32644590115672,1681
30,81.53892036981807,90.35140693452975,81.53892036981807,85.32644590115672,1681
31,81.53892036981807,90.35140693452975,81.53892036981807,85.32644590115672,1681
32,84.78974053086787,87.84414608099142,84.78974053086787,86.28859469754457,1681
33,84.78974053086787,87.84414608099142,84.78974053086787,86.28859469754457,1681
34,84.93886072174173,87.85460297651451,84.93886072174173,86.37089173600849,1681
35,85.83358186698479,87.91689182050456,85.83358186698479,86.86200891773827,1681
36,86.28094243960632,88.37929755275407,86.28094243960632,87.30967894945042,1681
37,87.354607813898,88.32971589071965,87.354607813898,87.8379673206226,1681
38,87.354607813898,88.32971589071965,87.354607813898,87.8379673206226,1681
39,82.91082612585744,87.71019377784849,82.91082612585744,85.240527480731,1681
40,82.91082612585744,87.71019377784849,82.91082612585744,85.240527480731,1681
41,82.64240978228452,87.6906922732375,82.64240978228452,85.08909220849368,1681
