n_features,accuracy,w_precision,w_recall,w_f1score,predict_s
1,77.60581174984208,94.8272573572882,77.60581174984208,83.21836555459244,1315
2,98.73657612128869,98.74270599216787,98.73657612128869,98.73949027993251,1308
3,93.65129500947567,87.70565056951844,93.65129500947567,90.58101115742795,0
4,98.73657612128869,98.74270599216787,98.73657612128869,98.73949027993251,1308
5,98.8945041061276,98.87355502384445,98.8945041061276,98.86884856387911,1303
6,98.92608970309539,98.90737283195293,98.92608970309539,98.89978175935319,1303
7,75.30006317119393,93.89100213520277,75.30006317119393,81.53737418744876,1303
8,74.98420720151611,93.3317546136569,74.98420720151611,81.28463326753143,1293
9,73.87871130764371,91.49252153747075,73.87871130764371,80.3901487319253,1293
10,70.15161086544536,86.20577936966497,70.15161086544536,77.2795299276977,1282
11,61.84459886291851,85.09923172999231,61.844598862918524,71.57993450768515,664
12,61.8761844598863,85.14502523088254,61.8761844598863,71.60431951266347,1312
13,61.84459886291851,85.09923172999231,61.844598862918524,71.57993450768515,664
14,61.8761844598863,85.14502523088254,61.8761844598863,71.60431951266347,1312
15,61.8761844598863,85.14502523088254,61.8761844598863,71.60431951266347,1312
16,61.8761844598863,85.14502523088254,61.8761844598863,71.60431951266347,1312
17,61.8761844598863,85.14502523088254,61.8761844598863,71.60431951266347,1312
18,61.8761844598863,85.14502523088254,61.8761844598863,71.60431951266347,1312
19,61.8761844598863,85.14502523088254,61.8761844598863,71.60431951266347,1312
20,61.8761844598863,85.14502523088254,61.8761844598863,71.60431951266347,1312
21,61.8761844598863,85.14502523088254,61.8761844598863,71.60431951266347,1312
22,61.8761844598863,85.14502523088254,61.8761844598863,71.60431951266347,1312
23,61.8761844598863,85.14502523088254,61.8761844598863,71.60431951266347,1312
24,73.02590018951358,86.36571225422094,73.02590018951358,79.09818322999145,1312
25,73.02590018951358,86.36571225422094,73.02590018951358,79.09818322999145,1312
26,72.86797220467467,86.35067521563522,72.86797220467467,78.99865931981871,1312
27,61.74984207201516,85.1289893547482,61.74984207201516,71.5135593457813,1300
28,73.24699936828806,86.34565641193893,73.24699936828806,79.22783396107822,664
29,77.16361339229312,86.70023210218386,77.16361339229312,81.63188228829421,664
30,77.16361339229312,86.70023210218386,77.16361339229312,81.63188228829421,664
31,77.10044219835754,86.69473763769133,77.10044219835754,81.59392161462733,664
32,77.06885660138977,86.691987884844,77.06885660138977,81.57493154433831,664
33,68.603916614024,89.23697625202324,68.603916614024,76.56349588277243,1303
34,68.603916614024,89.23697625202324,68.603916614024,76.56349588277243,1303
35,71.3518635502211,94.07392934875905,71.3518635502211,78.6876727549191,1303
36,67.84586228679721,94.23730478973413,67.84586228679721,76.0520323952904,1306
37,63.897662665824384,94.16633810811945,63.8976626658244,72.96725660223395,1307
38,63.897662665824384,94.16633810811945,63.8976626658244,72.96725660223395,1307
39,63.897662665824384,94.16633810811945,63.8976626658244,72.96725660223395,1307
40,63.897662665824384,94.16633810811945,63.8976626658244,72.96725660223395,1307
41,63.92924826279217,94.22117957428405,63.92924826279217,72.98936942987903,1309
42,63.92924826279217,94.22117957428405,63.92924826279217,72.98936942987903,1309
43,63.92924826279217,94.22117957428405,63.92924826279217,72.98936942987903,1309
44,63.92924826279217,94.22117957428405,63.92924826279217,72.98936942987903,1309
45,63.92924826279217,94.22117957428405,63.92924826279217,72.98936942987903,1309
46,65.22425773847125,94.25847106848613,65.22425773847125,74.01508706513071,1309
47,71.44662034112444,94.46428022429936,71.44662034112444,78.76010008795663,1309
48,71.44662034112444,94.46428022429936,71.44662034112444,78.76010008795663,1309
49,71.44662034112444,94.46428022429936,71.44662034112444,78.76010008795663,1309
50,70.81490840176879,94.39193954403649,70.81490840176879,78.29103896100828,1307
51,70.84649399873658,94.39311369847061,70.84649399873658,78.31454296043742,1307
52,70.84649399873658,94.39311369847061,70.84649399873658,78.31454296043742,1307
53,63.92924826279217,94.22117957428405,63.92924826279217,72.98936942987903,1309
54,63.92924826279217,94.22117957428405,63.92924826279217,72.98936942987903,1309
55,63.92924826279217,94.22117957428405,63.92924826279217,72.98936942987903,1309
56,63.92924826279217,94.22117957428405,63.92924826279217,72.98936942987903,1309
57,78.77447883765004,86.66654165255375,78.77447883765004,82.53227199774994,0
58,78.96399241945673,86.68205758004042,78.96399241945673,82.64321832816421,0
59,78.96399241945673,86.68205758004042,78.96399241945673,82.64321832816421,0
60,78.96399241945673,86.68205758004042,78.96399241945673,82.64321832816421,0
61,78.96399241945673,86.68205758004042,78.96399241945673,82.64321832816421,0
62,78.96399241945673,86.68205758004042,78.96399241945673,82.64321832816421,0
63,82.849020846494,86.98560439442447,82.849020846494,84.86693619272921,0
64,82.849020846494,86.98560439442447,82.849020846494,84.86693619272921,0
65,82.849020846494,86.98560439442447,82.849020846494,84.86693619272921,0
66,82.849020846494,86.98560439442447,82.849020846494,84.86693619272921,0
